Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore
T1027TS427_1-D1,43.35,0.4853,66.9,,0.4244,,30.5,,0.2892,,69.3,,0.441,,33.5,,0.3232,,67.9,,0.4611,,32.2,,0.3085,,67.9,,0.451,,32.4,,0.3146,
T1029TS427_1-D1,47.32,0.4688,93.8,,0.4737,,43.5,,0.3521,,94.2,,0.4728,,46.4,,0.3647,,94.1,,0.4724,,47.4,,0.3587,,93.7,,0.4714,,46.9,,0.351,
T1031TS427_1-D1,71.42,0.8546,77.4,,0.6777,,46.8,,0.3411,,77.3,,0.6536,,48.2,,0.3151,,77.4,,0.6556,,53,,0.3105,,77.7,,0.6369,,54.1,,0.3088,
T1033TS427_1-D1,81.84,0.8888,61.9,,0.6826,,48.6,,0.3613,,72.8,,0.7526,,50.4,,0.3648,,71.2,,0.7375,,50.5,,0.3584,,70.3,,0.7209,,50.3,,0.3612,
T1037TS427_1-D1,79.01,0.9585,77.7,,0.7162,,28.8,,0.2094,,76.9,,0.7089,,27.4,,0.2112,,77.5,,0.7144,,27.1,,0.2089,,77.4,,0.7153,,26.9,,0.2074,
T1039TS427_1-D1,71.71,0.8612,84.7,,0.7041,,39.5,,0.3258,,85.5,,0.6968,,38.4,,0.3235,,85.2,,0.6984,,37.9,,0.3243,,85.2,,0.6987,,37.2,,0.3208,
T1040TS427_1-D1,74.08,0.7836,53.3,,0.6454,,37.7,,0.3581,,56.7,,0.6623,,40.7,,0.3842,,61.2,,0.7036,,40.4,,0.3388,,66.4,,0.6493,,40.4,,0.3444,
T1041TS427_1-D1,82.82,0.9528,74,,0.7965,,29.9,,0.2058,,73.1,,0.8033,,31.4,,0.2551,,75.2,,0.8039,,31.7,,0.2543,,74.7,,0.8312,,31.6,,0.2532,
T1042TS427_1-D1,83.15,0.9364,57.1,,0.6474,,30.8,,0.2771,,71,,0.6897,,30.9,,0.2791,,72.7,,0.6664,,30.4,,0.2796,,72.7,,0.6664,,29.9,,0.2813,
T1043TS427_1-D1,75.05,0.8788,31.1,,0.2037,,29.8,,0.2029,,29.3,,0.2182,,31.5,,0.206,,28.7,,0.2209,,32.9,,0.2109,,30,,0.2051,,34.2,,0.2123,
T1047s1TS427_1-D1,75.18,0.5589,75.1,,0.7412,,27.1,,0.307,,75.9,,0.7396,,28.7,,0.3094,,76.2,,0.7354,,29.3,,0.3044,,76.6,,0.7376,,29,,0.302,
T1047s2TS427_1,77.57,0.7731,81.1,,0.7836,,27.2,,0.2641,,82.4,,0.7831,,27.6,,0.2874,,83,,0.7825,,27.8,,0.29,,82.9,,0.7824,,27.4,,0.2954,
T1055TS427_1-D1,73.65,0.8978,78.4,,0.745,,29,,0.2266,,79,,0.7441,,30.7,,0.2667,,78.5,,0.7429,,30.5,,0.2636,,76.5,,0.7443,,29.9,,0.2612,
T1058TS427_1,82.62,0.9561,91.7,,0.8131,,27.8,,0.193,,91.8,,0.814,,30.9,,0.2219,,91.7,,0.814,,34.8,,0.2268,,91.9,,0.8139,,39.9,,0.244,
T1064TS427_1-D1,74.67,0.8117,30.5,,0.2749,,30.9,,0.2594,,29.4,,0.2707,,34.2,,0.269,,37.1,,0.2486,,34.7,,0.2535,,46,,0.3043,,33.6,,0.2525,
T1074TS427_1-D1,83.62,0.9160,68.3,,0.8102,,31.4,,0.3501,,68.5,,0.8137,,31.4,,0.3693,,67.7,,0.8149,,31.4,,0.3561,,67.2,,0.8163,,30.8,,0.3658,
T1090TS427_1-D1,82.77,0.9148,87.8,,0.8178,,27.4,,0.2292,,89.4,,0.8359,,28.1,,0.1955,,89.9,,0.8351,,28.3,,0.2224,,90,,0.8334,,28.1,,0.2052,
T1093TS427_1,74.99,0.9356,84.1,,0.7276,,27.6,,0.2499,,85.3,,0.7371,,26.8,,0.2532,,86,,0.7425,,26.8,,0.2546,,86,,0.7423,,26.6,,0.2548,
T1094TS427_1,75.42,0.9101,83.1,,0.7466,,25.3,,0.2017,,82,,0.7465,,25.8,,0.2124,,81.6,,0.7474,,26.4,,0.2265,,82.9,,0.7461,,26.4,,0.2161,
T1096TS427_1,72.69,0.5585,67,,0.7139,,28.9,,0.3058,,66.8,,0.7218,,28.8,,0.306,,65.3,,0.7161,,65.3,,0.7161,,61.9,,0.7115,,29.3,,0.3121,
