Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore
T1027TS427_1-D1,43.35,0.4853,73.2,,0.444,,35.7,,0.3897,,73.4,,0.4563,,53.5,,0.3689,,71.8,,0.4621,,58.6,,0.3778,,70.1,,0.4562,,64.9,,0.3781,
T1029TS427_1-D1,47.32,0.4688,94.7,,0.4727,,47.9,,0.437,,95.1,,0.4707,,51.8,,0.4253,,95.2,,0.4701,,54,,0.4308,,95.2,,0.4704,,61.1,,0.4444,
T1031TS427_1-D1,71.42,0.8546,80.8,,0.7092,,56.9,,0.3107,,80.5,,0.6909,,58.5,,0.312,,79.3,,0.6826,,58.3,,0.3111,,79.8,,0.6831,,60.3,,0.3103,
T1033TS427_1-D1,81.84,0.8888,75.3,,0.7521,,51.4,,0.3562,,78.4,,0.7537,,52.7,,0.3611,,79.2,,0.7491,,55,,0.3639,,78.6,,0.7448,,59.9,,0.3663,
T1037TS427_1-D1,79.01,0.9585,79.8,,0.7128,,29.3,,0.2109,,79.1,,0.7187,,29.4,,0.2211,,79.6,,0.7161,,29.2,,0.222,,79.4,,0.7161,,28.9,,0.2341,
T1039TS427_1-D1,71.71,0.8612,86.3,,0.7387,,44.3,,0.3417,,87.1,,0.7088,,46.6,,0.3597,,87.2,,0.6994,,45.5,,0.3419,,86.6,,0.7008,,45.1,,0.3475,
T1040TS427_1-D1,74.08,0.7836,59.8,,0.6548,,40.4,,0.379,,60.5,,0.6638,,41.9,,0.3868,,67.2,,0.6517,,43.7,,0.3917,,68.5,,0.7242,,45.4,,0.3916,
T1041TS427_1-D1,82.82,0.9528,79.2,,0.8042,,33.5,,0.2137,,81.9,,0.8143,,40.1,,0.2223,,82.2,,0.8159,,44.3,,0.2199,,82.1,,0.8218,,45.2,,0.2193,
T1042TS427_1-D1,83.15,0.9364,64.5,,0.6525,,31.4,,0.2753,,75.4,,0.6809,,32,,0.2778,,73.9,,0.6849,,32.9,,0.2889,,75.3,,0.676,,35.1,,0.2858,
T1043TS427_1-D1,75.05,0.8788,32.7,,0.2043,,36.7,,0.2364,,33.3,,0.2027,,36,,0.2535,,32.8,,0.2356,,39.7,,0.2588,,38.1,,0.314,,45.4,,0.2599,
T1047s1TS427_1-D1,75.18,0.5589,79.3,,0.7564,,31.7,,0.3446,,79.8,,0.7524,,30.8,,0.3345,,80.2,,0.749,,29.7,,0.3204,,80.6,,0.7455,,30.8,,0.3119,
T1047s2TS427_1,77.57,0.7731,84.3,,0.785,,30.2,,0.28,,84.8,,0.7825,,30.7,,0.2802,,85.1,,0.7815,,31.9,,0.2765,,85.4,,0.7804,,31.9,,0.2779,
T1055TS427_1-D1,73.65,0.8978,79.9,,0.7442,,37,,0.3697,,79.5,,0.7481,,46.4,,0.4428,,79.5,,0.7474,,51.6,,0.4613,,79,,0.7478,,55.6,,0.4745,
T1058TS427_1,82.62,0.9561,92.5,,0.8182,,41.8,,0.2576,,93.1,,0.8182,,43.2,,0.2753,,93.1,,0.8195,,43.8,,0.2796,,93.3,,0.8189,,42.6,,0.2767,
T1064TS427_1-D1,74.67,0.8117,42,,0.332,,36.5,,0.2579,,53,,0.5201,,36.8,,0.2622,,54.6,,0.5705,,36,,0.2679,,58.9,,0.6433,,35.5,,0.2791,
T1074TS427_1-D1,83.62,0.9160,69.9,,0.8363,,36.4,,0.3566,,71.6,,0.8411,,37.2,,0.3761,,72.4,,0.8453,,37.4,,0.374,,73.7,,0.9066,,40.7,,0.3763,
T1090TS427_1-D1,82.77,0.9148,88.7,,0.8232,,32.1,,0.2395,,90.5,,0.8341,,37.2,,0.2366,,90.9,,0.8368,,35.8,,0.2488,,91.2,,0.8323,,42.4,,0.2491,
T1093TS427_1,74.99,0.9356,84.8,,0.7286,,32.3,,0.275,,86.1,,0.7239,,31.1,,0.2775,,86.5,,0.7253,,30.3,,0.2758,,86.9,,0.7395,,30.2,,0.2911,
T1094TS427_1,75.42,0.9101,83.9,,0.756,,29.8,,0.2178,,84.1,,0.765,,29.8,,0.2264,,84.3,,0.7681,,29.3,,0.2257,,85.2,,0.7677,,29.4,,0.2271,
T1096TS427_1,72.69,0.5585,76.7,,0.7176,,30.1,,0.2996,,75.8,,0.7243,,32.6,,0.3155,,76,,0.7241,,76,,0.7241,,74.3,,0.7258,,35.2,,0.3164,
