Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore
T1027TS427_1-D1,43.35,0.4853,71.6,,0.4231,,33.3,,0.2689,,70.9,,0.4345,,34.4,,0.2575,,70.4,,0.4323,,35.8,,0.264,,68.7,,0.4339,,37.4,,0.2887,
T1029TS427_1-D1,47.32,0.4688,94.6,,0.4713,,46.2,,0.4181,,95,,0.4715,,48.2,,0.4369,,95,,0.4709,,51.2,,0.4387,,94.9,,0.4712,,52.6,,0.4365,
T1031TS427_1-D1,71.42,0.8546,80,,0.6903,,48.3,,0.3126,,79.4,,0.7095,,54,,0.3493,,77.8,,0.7073,,55.2,,0.3493,,78.2,,0.7051,,54.2,,0.3481,
T1033TS427_1-D1,81.84,0.8888,73.9,,0.7711,,51.3,,0.3547,,74.9,,0.7629,,52.5,,0.373,,74.3,,0.7439,,51.9,,0.3715,,72.5,,0.727,,51.3,,0.3696,
T1037TS427_1-D1,79.01,0.9585,78.4,,0.6953,,29.1,,0.2276,,78.5,,0.7058,,29.4,,0.2388,,78.5,,0.7023,,29.1,,0.238,,78.4,,0.7006,,28.7,,0.2224,
T1039TS427_1-D1,71.71,0.8612,85.7,,0.6943,,43.2,,0.3442,,87.1,,0.7404,,38.4,,0.3256,,86.1,,0.6927,,40.1,,0.3551,,86.3,,0.6858,,38.5,,0.3363,
T1040TS427_1-D1,74.08,0.7836,57.2,,0.6528,,39.9,,0.3322,,60.1,,0.652,,41.6,,0.3427,,63.6,,0.6658,,41.8,,0.3919,,67.1,,0.6665,,42.7,,0.3916,
T1041TS427_1-D1,82.82,0.9528,77.1,,0.8142,,32.6,,0.257,,78.6,,0.8204,,33.2,,0.2178,,82,,0.823,,39.2,,0.2226,,80.7,,0.812,,41,,0.221,
T1042TS427_1-D1,83.15,0.9364,60.3,,0.6485,,31.3,,0.2882,,71.4,,0.6714,,31.5,,0.3064,,73.6,,0.6932,,30.9,,0.3053,,74.4,,0.694,,31,,0.307,
T1043TS427_1-D1,75.05,0.8788,32.1,,0.1934,,34.4,,0.2395,,33.2,,0.214,,34.6,,0.2406,,30.5,,0.2012,,33.8,,0.2364,,31.8,,0.2245,,38.5,,0.2419,
T1047s1TS427_1-D1,75.18,0.5589,75.9,,0.7492,,28.5,,0.3492,,76.8,,0.7495,,29.1,,0.3624,,77.2,,0.748,,29.3,,0.3728,,78.1,,0.7483,,30.1,,0.3815,
T1047s2TS427_1,77.57,0.7731,81.4,,0.7849,,29.9,,0.2582,,83,,0.7836,,29.9,,0.2731,,83.9,,0.7835,,29.8,,0.2715,,84.1,,0.7831,,30.1,,0.272,
T1055TS427_1-D1,73.65,0.8978,78.7,,0.7438,,31.2,,0.2544,,79,,0.7443,,30.9,,0.2727,,78.6,,0.7415,,31.1,,0.2631,,77.9,,0.7426,,31.5,,0.2604,
T1058TS427_1,82.62,0.9561,91.9,,0.8125,,37.3,,0.2488,,92.1,,0.8099,,39.7,,0.2545,,92.1,,0.8093,,40.2,,0.2468,,92,,0.8073,,40.4,,0.2334,
T1064TS427_1-D1,74.67,0.8117,35.2,,0.2705,,31.3,,0.2479,,37.9,,0.266,,34.9,,0.2925,,48.2,,0.2978,,35.2,,0.287,,46.1,,0.3289,,34.6,,0.2515,
T1074TS427_1-D1,83.62,0.9160,69.7,,0.834,,32.3,,0.3683,,70.6,,0.8728,,32.5,,0.346,,70.4,,0.8841,,37.3,,0.3793,,72.3,,0.8462,,36.6,,0.377,
T1090TS427_1-D1,82.77,0.9148,88.6,,0.8233,,27.8,,0.1921,,90.1,,0.8382,,29.4,,0.2482,,90.4,,0.8445,,33.5,,0.2136,,90.5,,0.8398,,35.3,,0.224,
T1093TS427_1,74.99,0.9356,84.3,,0.719,,27.7,,0.2599,,86,,0.7429,,29.2,,0.2835,,86.4,,0.742,,29.8,,0.2898,,86.8,,0.7241,,29.9,,0.2724,
T1094TS427_1,75.42,0.9101,83.4,,0.7543,,25.9,,0.2163,,84,,0.7591,,26.2,,0.2221,,84.3,,0.7631,,26.5,,0.2257,,84.4,,0.7616,,27,,0.2366,
T1096TS427_1,72.69,0.5585,68.1,,0.7148,,29.4,,0.2843,,67.5,,0.7209,,30,,0.3021,,67.3,,0.7211,,67.3,,0.7211,,66.8,,0.7215,,29.5,,0.3006,
