Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1029TS009_1-D1,46.16,0.4608,94.6,,0.4713,,88.3,,0.4741,,95,,0.4715,,88.1,,0.4745,,95,,0.4709,,87.9,,0.4751,,94.9,,0.4712,,87.6,,0.476,,009
T1031TS009_1-D1,51.28,0.5380,80,,0.6903,,77.8,,0.5109,,80.5,,0.6909,,76,,0.5097,,79.3,,0.6826,,73.8,,0.5114,,79.8,,0.6831,,70.7,,0.5136,,009
T1033TS009_1-D1,59.96,0.6558,73.9,,0.6853,,76,,0.6185,,74.9,,0.7629,,74.1,,0.623,,74.3,,0.7439,,72.3,,0.6218,,72.5,,0.727,,71.4,,0.6242,,009
T1037TS009_1-D1,55.07,0.7938,78.4,,0.6953,,78.6,,0.57,,78.5,,0.7058,,77.5,,0.5718,,78.5,,0.7023,,77.1,,0.5736,,78.4,,0.7006,,76.5,,0.573,,009
T1041TS009_1-D1,53.55,0.7261,75.3,,0.7006,,90.2,,0.5409,,78.7,,0.8189,,90,,0.541,,80.6,,0.8226,,90.2,,0.5418,,82.4,,0.8218,,90.3,,0.5421,,009
T1042TS009_1-D1,53.82,0.6053,70.2,,0.5717,,85.9,,0.5474,,72,,0.5726,,83.8,,0.5475,,73.5,,0.5704,,82.8,,0.5501,,73.7,,0.5711,,81.8,,0.5506,,009
T1043TS009_1-D1,48.49,0.5467,70.5,,0.4972,,88.5,,0.493,,72.3,,0.497,,84.1,,0.4956,,72,,0.4956,,79.6,,0.4982,,73.3,,0.494,,77.3,,0.4988,,009
T1049TS009_1-D1,58.15,0.7323,88.7,,0.8473,,81,,0.6264,,87.7,,0.8572,,79.4,,0.6298,,88.2,,0.8645,,78.7,,0.6417,,88.7,,0.8689,,78.1,,0.6412,,009
T1090TS009_1-D1,57.35,0.7568,88.6,,0.8233,,85.6,,0.5975,,90.1,,0.8382,,83.4,,0.6019,,90.4,,0.8445,,82.9,,0.6049,,90.8,,0.8232,,82.3,,0.6072,,009
T1031TS129_1-D1,58.28,0.7100,80,,0.6903,,76.6,,0.6342,,80.5,,0.6909,,76,,0.619,,79.3,,0.6826,,76.1,,0.6251,,79.8,,0.6831,,75,,0.6309,,129
T1037TS129_1D1,56.72,0.8090,79.8,,0.7128,,85.3,,0.5868,,80.6,,0.6539,,83.8,,0.5884,,81.3,,0.6594,,83.7,,0.5909,,81.7,,0.6593,,83.2,,0.5906,,129
T1040TS129_1-D1,55.22,0.5051,59.8,,0.6548,,71.2,,0.5588,,60.1,,0.652,,68.5,,0.5627,,63.6,,0.6658,,66.6,,0.5644,,67.1,,0.6665,,66,,0.5637,,129
T1041TS129_1-D1,60.16,0.7672,79,,0.7416,,86.1,,0.617,,78.6,,0.8203,,83.8,,0.6192,,82,,0.823,,82.5,,0.6233,,80.7,,0.812,,81.2,,0.6258,,129
T1042TS129_1-D1,56.17,0.7266,70,,0.6254,,74.7,,0.5834,,71.4,,0.6714,,74.5,,0.5872,,73.6,,0.6932,,74,,0.5886,,74.4,,0.694,,73.5,,0.589,,129
T1049TS129_1-D1,55.21,0.6744,88.7,,0.8473,,78.1,,0.5981,,87.7,,0.8572,,75.6,,0.617,,88.2,,0.8645,,75,,0.6225,,88.7,,0.8689,,74.7,,0.6251,,129
T1074TS129_1-D1,49.54,0.5912,69.7,,0.834,,61.2,,0.586,,70.6,,0.8728,,60,,0.5839,,70.4,,0.8841,,59.5,,0.6284,,72.3,,0.8462,,59.5,,0.5977,,129
T1090TS129_1-D1,51.62,0.6727,88.6,,0.8233,,76.9,,0.5349,,90.1,,0.8382,,74.3,,0.5383,,90.4,,0.8445,,74,,0.5368,,90.5,,0.8398,,73.6,,0.5369,,129
T1096TS129_1,61.31,0.5387,77.6,,0.6734,,89,,0.6246,,77.5,,0.6937,,86.9,,0.6279,,77.2,,0.6972,,86.4,,0.6283,,77,,0.6975,,86.2,,0.6283,,129
T1027TS403_1-D1,53.27,0.5499,71.6,,0.4231,,56.8,,0.4403,,70.9,,0.4345,,55.9,,0.441,,70.4,,0.4323,,58.5,,0.4366,,69.1,,0.4335,,58.1,,0.4368,,403
