Model,Base_lDDT-Cα,R1M_lDDT-Cα,R1S_lDDT-Cα,R3M_lDDT-Cα,R3S_lDDT-Cα,R6M_lDDT-Cα,R6S_lDDT-Cα,R12M_lDDT-Cα,R12S_lDDT-Cα
T1029TS009_1-D1,0.5548,0.5583,0.5465,0.5582,0.5462,0.5592,0.5479,0.5584,0.5483
T1031TS009_1-D1,0.5812,0.7594,0.5788,0.7565,0.5829,0.7517,0.5832,0.7568,0.5838
T1033TS009_1-D1,0.7178,0.8284,0.7166,0.8294,0.7218,0.8231,0.7233,0.818,0.7232
T1037TS009_1-D1,0.6285,0.7712,0.6313,0.7783,0.6315,0.7794,0.6303,0.7784,0.6294
T1041TS009_1-D1,0.623,0.8599,0.619,0.8877,0.6184,0.889,0.6194,0.8862,0.6196
T1042TS009_1-D1,0.6167,0.6524,0.6153,0.7427,0.6158,0.7383,0.6154,0.7361,0.615
T1043TS009_1-D1,0.5556,0.5643,0.5584,0.5627,0.5584,0.5605,0.5591,0.5595,0.5591
T1049TS009_1-D1,0.6646,0.906,0.7017,0.9124,0.7115,0.9153,0.7134,0.9136,0.7141
T1090TS009_1-D1,0.6675,0.8851,0.6824,0.8966,0.6835,0.896,0.6826,0.8927,0.681
T1031TS129_1-D1,0.6634,0.7594,0.6848,0.7565,0.684,0.7518,0.6862,0.7574,0.6995
T1037TS129_1D1,0.6463,0.6736,0.6515,0.6994,0.6538,0.7207,0.6531,0.7272,0.6516
T1040TS129_1-D1,0.6422,0.6562,0.6529,0.7514,0.6561,0.7328,0.6535,0.8032,0.6548
T1041TS129_1-D1,0.6954,0.8661,0.6985,0.8752,0.7001,0.8758,0.7006,0.8838,0.7003
T1042TS129_1-D1,0.6512,0.6906,0.6632,0.7302,0.6647,0.7326,0.6637,0.731,0.6625
T1049TS129_1-D1,0.6138,0.906,0.6533,0.9124,0.6637,0.9153,0.6687,0.9135,0.6695
T1074TS129_1-D1,0.5911,0.9031,0.6727,0.9062,0.7159,0.9102,0.6834,0.9684,0.7139
T1090TS129_1-D1,0.6051,0.8851,0.6123,0.8966,0.6143,0.8959,0.6139,0.8927,0.6125
T1096TS129_1,0.7035,0.7473,0.7137,0.7587,0.7169,0.7704,0.7182,0.7681,0.7177
T1027TS403_1-D1,0.3364,0.4959,0.4913,0.5067,0.496,0.5144,0.4336,0.5106,0.4334
T1031TS403_1-D1,0.6576,0.7594,0.6963,0.8156,0.6983,0.7518,0.6913,0.7572,0.691
T1033TS403_1-D1,0.7932,0.8284,0.8333,0.8294,0.8398,0.8231,0.8379,0.818,0.8329
T1037TS403_1-D1,0.6834,0.7058,0.6891,0.7072,0.6895,0.7096,0.6892,0.713,0.689
T1039TS403_1-D1,0.6432,0.7887,0.6469,0.8006,0.6485,0.8042,0.6511,0.8038,0.6549
T1041TS403_1-D1,0.7209,0.7366,0.7207,0.8752,0.7228,0.8758,0.7237,0.8839,0.7235
T1042TS403_1-D1,0.6703,0.7129,0.6814,0.7195,0.6817,0.7201,0.6823,0.7203,0.6814
T1043TS403_1-D1,0.6923,0.7068,0.6976,0.7079,0.7005,0.7088,0.7037,0.7112,0.7022
T1049TS403_1-D1,0.6639,0.906,0.6927,0.9124,0.6961,0.9153,0.7128,0.9136,0.7161
T1090TS403_1-D1,0.6569,0.8641,0.6757,0.8966,0.6777,0.8861,0.6771,0.8841,0.6767
T1096TS403_1,0.681,0.6913,0.6842,0.692,0.6866,0.6921,0.6863,0.6907,0.6862
T1031TS473_1-D1,0.6865,0.7594,0.6943,0.7579,0.6947,0.7518,0.6952,0.7526,0.6954
T1033TS473_1-D1,0.762,0.8135,0.7799,0.8294,0.7889,0.8231,0.7882,0.818,0.7865
T1037TS473_1-D1,0.6505,0.6564,0.6522,0.6586,0.6525,0.6617,0.6522,0.6622,0.6522
T1039TS473_1-D1,0.715,0.7887,0.717,0.8006,0.7176,0.8042,0.7174,0.8038,0.7178
T1041TS473_1-D1,0.6473,0.6868,0.6547,0.8752,0.6549,0.676,0.6542,0.6743,0.6536
T1042TS473_1-D1,0.7059,0.7292,0.7212,0.7309,0.7218,0.7312,0.7224,0.7306,0.7215
T1043TS473_1-D1,0.6207,0.6362,0.6356,0.6462,0.6462,0.6478,0.6447,0.6484,0.6421
T1049TS473_1-D1,0.6995,0.906,0.7136,0.9125,0.7142,0.9153,0.715,0.9136,0.716
T1074TS473_1-D1,0.5582,0.9031,0.5708,0.9062,0.57,0.9102,0.5704,0.9684,0.571
T1090TS473_1-D1,0.7056,0.7132,0.7084,0.7136,0.7084,0.896,0.709,0.8927,0.71
T1031TS480_1-D1,0.7011,0.7594,0.7134,0.7565,0.7119,0.7518,0.7109,0.7572,0.7092
T1037TS480_1-D1,0.6061,0.6212,0.608,0.6225,0.6091,0.6257,0.6074,0.6304,0.6075
T1041TS480_1-D1,0.6366,0.8661,0.6422,0.8752,0.6423,0.8758,0.6418,0.8839,0.6421
T1042TS480_1-D1,0.6561,0.6639,0.6602,0.6651,0.66,0.6642,0.6619,0.6617,0.6629
T1049TS480_1-D1,0.6822,0.9027,0.7225,0.9112,0.7261,0.9136,0.7342,0.9153,0.734
T1074TS480_1-D1,0.4841,0.8755,0.5001,0.9121,0.496,0.9306,0.4944,0.9372,0.4951
T1090TS480_1-D1,0.6501,0.8851,0.6524,0.8966,0.6519,0.896,0.6528,0.9014,0.6526
T1096TS480_1,0.7554,0.7653,0.7618,0.766,0.7621,0.7662,0.7616,0.7665,0.7622
