Model,Base_lDDT-Cα,R1M_lDDT-Cα,R1S_lDDT-Cα,R3M_lDDT-Cα,R3S_lDDT-Cα,R6M_lDDT-Cα,R6S_lDDT-Cα,R12M_lDDT-Cα,R12S_lDDT-Cα
T1029TS009_1-D1,0.5548,0.5608,0.5056,0.559,0.4957,0.5578,0.497,0.5584,0.5156
T1031TS009_1-D1,0.5812,0.7552,0.37,0.7326,0.37,0.7422,0.3665,0.7411,0.3661
T1033TS009_1-D1,0.7178,0.8393,0.4027,0.8249,0.4066,0.765,0.4076,0.8214,0.41
T1037TS009_1-D1,0.6285,0.778,0.2395,0.7689,0.252,0.7766,0.2555,0.7758,0.2564
T1041TS009_1-D1,0.623,0.8563,0.2982,0.8022,0.2601,0.8048,0.2635,0.8124,0.2579
T1042TS009_1-D1,0.6167,0.6811,0.3339,0.6553,0.3316,0.7497,0.3374,0.7422,0.3359
T1043TS009_1-D1,0.5556,0.2356,0.2658,0.2358,0.2904,0.2761,0.2967,0.3153,0.3004
T1049TS009_1-D1,0.6646,0.8868,0.2784,0.8911,0.2865,0.8898,0.2733,0.886,0.2665
T1090TS009_1-D1,0.6675,0.8793,0.2618,0.8956,0.2733,0.8973,0.2911,0.8997,0.2976
T1031TS129_1-D1,0.6634,0.7513,0.37,0.7755,0.37,0.7329,0.3665,0.7147,0.3661
T1037TS129_1D1,0.6463,0.7578,0.2412,0.7783,0.2547,0.7793,0.256,0.7785,0.2685
T1040TS129_1-D1,0.6422,0.7407,0.4457,0.66,0.4586,0.7756,0.4571,0.7304,0.4613
T1041TS129_1-D1,0.6954,0.8744,0.2982,0.8491,0.2601,0.8483,0.2636,0.8482,0.2581
T1042TS129_1-D1,0.6512,0.7104,0.3204,0.6988,0.3161,0.7242,0.33,0.7243,0.3265
T1049TS129_1-D1,0.6138,0.8868,0.2784,0.8911,0.2865,0.8898,0.2733,0.886,0.2663
T1074TS129_1-D1,0.5911,0.8671,0.4037,0.872,0.4244,0.8764,0.4464,0.8775,0.429
T1090TS129_1-D1,0.6051,0.8793,0.2665,0.8957,0.2618,0.8965,0.2908,0.8618,0.2915
T1096TS129_1,0.7035,0.8053,0.3424,0.8108,0.3687,0.8112,0.3697,0.8124,0.3708
T1027TS403_1-D1,0.3364,0.4766,0.4463,0.4881,0.4294,0.4806,0.4982,0.4859,0.4986
T1031TS403_1-D1,0.6576,0.7552,0.37,0.7662,0.37,0.8274,0.3665,0.8088,0.3661
T1033TS403_1-D1,0.7932,0.8393,0.4027,0.849,0.4066,0.8462,0.4076,0.8386,0.41
T1037TS403_1-D1,0.6834,0.7712,0.2395,0.7783,0.252,0.7793,0.2554,0.7785,0.2564
T1039TS403_1-D1,0.6432,0.8064,0.3969,0.7971,0.4256,0.801,0.4018,0.8012,0.4083
T1041TS403_1-D1,0.7209,0.7622,0.2982,0.7693,0.2601,0.7542,0.2636,0.7678,0.258
T1042TS403_1-D1,0.6703,0.7104,0.3339,0.7302,0.3316,0.7325,0.3374,0.731,0.336
T1043TS403_1-D1,0.6923,0.2356,0.2658,0.2363,0.2904,0.2763,0.2967,0.3049,0.3004
T1049TS403_1-D1,0.6639,0.8868,0.2784,0.8911,0.2865,0.8898,0.2733,0.886,0.2665
T1090TS403_1-D1,0.6569,0.8882,0.2618,0.9034,0.2734,0.9005,0.2911,0.899,0.2976
T1096TS403_1,0.681,0.7073,0.348,0.7094,0.3661,0.8113,0.3643,0.8123,0.362
T1031TS473_1-D1,0.6865,0.7552,0.37,0.7662,0.37,0.7601,0.3665,0.7557,0.3661
T1033TS473_1-D1,0.762,0.8284,0.4027,0.8352,0.4066,0.8164,0.4076,0.8182,0.41
T1037TS473_1-D1,0.6505,0.7712,0.2395,0.7783,0.252,0.7793,0.2555,0.7785,0.2562
T1039TS473_1-D1,0.715,0.8064,0.3969,0.7971,0.4256,0.8112,0.4017,0.8063,0.4085
T1041TS473_1-D1,0.6473,0.6907,0.2982,0.693,0.26,0.8845,0.2635,0.6851,0.2581
T1042TS473_1-D1,0.7059,0.7104,0.3339,0.7302,0.3316,0.7325,0.3374,0.731,0.336
T1043TS473_1-D1,0.6207,0.2356,0.2658,0.2359,0.2904,0.275,0.2967,0.3109,0.3003
T1049TS473_1-D1,0.6995,0.8868,0.2784,0.891,0.2865,0.8898,0.2733,0.886,0.2664
T1074TS473_1-D1,0.5582,0.8671,0.4037,0.872,0.4244,0.8764,0.4465,0.8775,0.429
T1090TS473_1-D1,0.7056,0.8851,0.2618,0.9004,0.2734,0.9041,0.2911,0.8927,0.2976
T1031TS480_1-D1,0.7011,0.7552,0.37,0.7591,0.37,0.7676,0.3665,0.767,0.3661
T1037TS480_1-D1,0.6061,0.7779,0.2395,0.784,0.252,0.7845,0.2555,0.7842,0.2564
T1041TS480_1-D1,0.6366,0.8581,0.2982,0.7978,0.2601,0.8683,0.2635,0.8015,0.2579
T1042TS480_1-D1,0.6561,0.6811,0.334,0.7427,0.3316,0.7383,0.3374,0.7361,0.3359
T1049TS480_1-D1,0.6822,0.8752,0.2784,0.8884,0.2865,0.887,0.2733,0.8904,0.2667
T1074TS480_1-D1,0.4841,0.8721,0.4037,0.8749,0.4244,0.8742,0.4464,0.8725,0.429
T1090TS480_1-D1,0.6501,0.8793,0.2616,0.8957,0.2733,0.9027,0.2912,0.8927,0.2976
T1096TS480_1,0.7554,0.8053,0.3479,0.8109,0.366,0.8113,0.3641,0.8123,0.362
