Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1029TS009_1-D1,46.16,0.4608,94.6,0.89,0.4713,0.4689,88.3,0.747,0.4741,0.4599,95,0.896,0.4715,0.4674,88.1,0.747,0.4745,0.458,95,0.896,0.4709,0.4664,87.9,0.745,0.4751,0.4582,94.9,0.894,0.4712,0.4654,87.6,0.738,0.476,0.4584,009
T1031TS009_1-D1,51.28,0.5380,80,0.645,0.6903,0.8132,77.8,0.627,0.5109,0.571,80.5,0.65,0.6909,0.8194,76,0.61,0.5097,0.5809,79.3,0.631,0.6826,0.8081,73.8,0.586,0.5114,0.5883,79.8,0.638,0.6831,0.8051,70.7,0.554,0.5136,0.5935,009
T1033TS009_1-D1,59.96,0.6558,73.9,0.64,0.6853,0.7086,76,0.521,0.6185,0.6461,74.9,0.671,0.7629,0.8347,74.1,0.501,0.623,0.6343,74.3,0.645,0.7439,0.8167,72.3,0.484,0.6218,0.623,72.5,0.597,0.727,0.8076,71.4,0.481,0.6242,0.6307,009
T1037TS009_1-D1,55.07,0.7938,78.4,0.806,0.6953,0.8397,78.6,0.775,0.57,0.8044,78.5,0.815,0.7058,0.8598,77.5,0.755,0.5718,0.8075,78.5,0.815,0.7023,0.8546,77.1,0.749,0.5736,0.8079,78.4,0.816,0.7006,0.8519,76.5,0.746,0.573,0.8081,009
T1041TS009_1-D1,53.55,0.7261,75.3,0.794,0.7006,0.845,90.2,0.793,0.5409,0.7195,78.7,0.817,0.8189,0.9221,90,0.782,0.541,0.7188,80.6,0.828,0.8226,0.9235,90.2,0.779,0.5418,0.7188,82.4,0.842,0.8218,0.9222,90.3,0.779,0.5421,0.7196,009
T1042TS009_1-D1,53.82,0.6053,70.2,0.611,0.5717,0.6432,85.9,0.73,0.5474,0.6189,72,0.621,0.5726,0.6333,83.8,0.7,0.5475,0.6157,73.5,0.632,0.5704,0.6316,82.8,0.684,0.5501,0.616,73.7,0.633,0.5711,0.6293,81.8,0.668,0.5506,0.6176,009
T1043TS009_1-D1,48.49,0.5467,70.5,0.698,0.4972,0.5484,88.5,0.754,0.493,0.5481,72.3,0.707,0.497,0.549,84.1,0.722,0.4956,0.5486,72,0.709,0.4956,0.5488,79.6,0.686,0.4982,0.5499,73.3,0.719,0.494,0.5479,77.3,0.667,0.4988,0.548,009
T1049TS009_1-D1,58.15,0.7323,88.7,0.84,0.8473,0.9323,81,0.673,0.6264,0.7593,87.7,0.825,0.8572,0.9352,79.4,0.646,0.6298,0.7646,88.2,0.83,0.8645,0.939,78.7,0.646,0.6417,0.7684,88.7,0.834,0.8689,0.9408,78.1,0.641,0.6412,0.7671,009
T1090TS009_1-D1,57.35,0.7568,88.6,0.856,0.8233,0.9159,85.6,0.734,0.5975,0.7669,90.1,0.865,0.8382,0.9354,83.4,0.714,0.6019,0.7681,90.4,0.866,0.8445,0.939,82.9,0.706,0.6049,0.7694,90.8,0.879,0.8232,0.9165,82.3,0.7,0.6072,0.77,009
T1031TS129_1-D1,58.28,0.7100,80,0.645,0.6903,0.8132,76.6,0.649,0.6342,0.7273,80.5,0.65,0.6909,0.8194,76,0.639,0.619,0.7028,79.3,0.631,0.6826,0.8081,76.1,0.641,0.6251,0.7058,79.8,0.638,0.6831,0.8051,75,0.636,0.6309,0.714,129
T1037TS129_1D1,56.72,0.8090,79.8,0.81,0.7128,0.8552,85.3,0.869,0.5868,0.816,80.6,0.822,0.6539,0.8563,83.8,0.849,0.5884,0.8167,81.3,0.821,0.6594,0.8593,83.7,0.843,0.5909,0.8166,81.7,0.822,0.6593,0.857,83.2,0.837,0.5906,0.8162,129
T1040TS129_1-D1,55.22,0.5051,59.8,0.44,0.6548,0.6185,71.2,0.617,0.5588,0.5182,60.1,0.383,0.652,0.5816,68.5,0.586,0.5627,0.5267,63.6,0.497,0.6658,0.6435,66.6,0.553,0.5644,0.5311,67.1,0.552,0.6665,0.6429,66,0.535,0.5637,0.5314,129
T1041TS129_1-D1,60.16,0.7672,79,0.815,0.7416,0.8539,86.1,0.787,0.617,0.7686,78.6,0.809,0.8203,0.923,83.8,0.772,0.6192,0.771,82,0.84,0.823,0.9233,82.5,0.763,0.6233,0.7715,80.7,0.822,0.812,0.9161,81.2,0.751,0.6258,0.7714,129
T1042TS129_1-D1,56.17,0.7266,70,0.636,0.6254,0.7356,74.7,0.645,0.5834,0.7186,71.4,0.634,0.6714,0.6633,74.5,0.624,0.5872,0.7196,73.6,0.664,0.6932,0.7263,74,0.605,0.5886,0.7178,74.4,0.681,0.694,0.7445,73.5,0.594,0.589,0.7175,129
