Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1029TS009_1-D1,46.16,0.4608,94.7,0.893,47.27,0.4696,89.3,0.771,47.21,0.4534,95.1,0.895,47.07,0.4677,88.5,0.768,47.24,0.4541,95.2,0.895,47.01,0.4687,88,0.765,47.33,0.4546,95.2,0.894,47.04,0.4687,87.8,0.763,47.36,0.4548,009
T1031TS009_1-D1,51.28,0.5380,81.8,0.658,68.49,0.8088,80.1,0.673,50.71,0.565,80.9,0.654,68.57,0.8171,79.7,0.67,50.91,0.5678,80.7,0.648,68.63,0.8132,79.3,0.667,50.87,0.5681,81.1,0.662,69.21,0.8191,79.2,0.664,50.91,0.5684,009
T1033TS009_1-D1,59.96,0.6558,75.3,0.667,75.21,0.832,78.6,0.572,62.25,0.6691,78.4,0.678,75.37,0.8302,78.6,0.581,62.61,0.6702,79.2,0.681,74.91,0.8241,78.1,0.579,62.82,0.6704,78.6,0.672,74.48,0.819,77.9,0.582,62.84,0.6691,009
T1037TS009_1-D1,55.07,0.7938,79.8,0.81,71.28,0.8552,82.1,0.817,55.82,0.7981,79.1,0.8,71.87,0.8585,81.2,0.811,55.85,0.7987,79.6,0.802,71.61,0.8538,81.2,0.808,55.76,0.7985,79.4,0.801,71.61,0.8534,81,0.804,55.72,0.7982,009
T1041TS009_1-D1,53.55,0.7261,79.4,0.817,80.04,0.9053,91.7,0.815,53.87,0.7215,82,0.833,83.07,0.925,91.6,0.812,53.85,0.7216,81.9,0.83,83.22,0.9276,92,0.81,53.87,0.7222,82.7,0.839,82.96,0.9285,92.3,0.81,53.95,0.7227,009
T1042TS009_1-D1,53.82,0.6053,71.7,0.607,58.36,0.6856,87.4,0.751,54.45,0.6176,73.8,0.66,68.98,0.6757,86.7,0.74,54.4,0.617,74.5,0.665,68.66,0.6714,86,0.726,54.33,0.6173,75,0.663,67.93,0.6777,85.8,0.72,54.26,0.6169,009
T1043TS009_1-D1,48.49,0.5467,77,0.754,49.39,0.5478,91.9,0.793,49.17,0.5486,77.7,0.754,49.27,0.5477,91.6,0.792,49.17,0.5485,77,0.748,49.16,0.5479,91,0.787,49.2,0.5487,78.5,0.76,49.03,0.5477,90.6,0.784,49.19,0.5488,009
T1049TS009_1-D1,58.15,0.7323,89.5,0.838,85.92,0.9373,81.7,0.666,62.62,0.7565,89.8,0.845,86.95,0.9408,79.4,0.646,64.81,0.7667,89.6,0.844,87.27,0.9409,79.1,0.643,65.61,0.7698,89.7,0.841,87.08,0.938,78.6,0.634,65.66,0.7705,009
T1090TS009_1-D1,57.35,0.7568,88.7,0.857,82.32,0.9161,87.2,0.774,59.53,0.7662,90.5,0.871,83.41,0.9194,85.7,0.761,59.6,0.7664,90.9,0.874,83.68,0.9195,85.2,0.755,59.56,0.766,91.2,0.876,83.23,0.9186,85.2,0.754,59.48,0.765,009
T1031TS129_1-D1,58.28,0.7100,81.8,0.658,68.49,0.8088,81.3,0.716,62.2,0.7207,80.9,0.654,68.58,0.8171,80,0.706,62.4,0.7167,80.7,0.648,68.63,0.8132,78.4,0.694,62.5,0.7186,81.2,0.662,69.22,0.819,79.1,0.697,62.98,0.7343,129
