Model,Base_lDDT-Cα,R1M_lDDT-Cα,R1S_lDDT-Cα,R3M_lDDT-Cα,R3S_lDDT-Cα,R6M_lDDT-Cα,R6S_lDDT-Cα,R12M_lDDT-Cα,R12S_lDDT-Cα
T1029TS009_1-D1,0.5548,0.5578,0.4145,0.5583,0.4315,0.5588,0.4265,0.5594,0.4189
T1031TS009_1-D1,0.5812,0.6353,0.3845,0.6667,0.3741,0.6824,0.3682,0.6791,0.3682
T1033TS009_1-D1,0.7178,0.7556,0.408,0.8157,0.4107,0.8089,0.4059,0.7918,0.4097
T1037TS009_1-D1,0.6285,0.6762,0.2559,0.6942,0.2435,0.6961,0.2399,0.6914,0.2403
T1041TS009_1-D1,0.623,0.8546,0.2463,0.8657,0.2967,0.8659,0.2951,0.8177,0.2923
T1042TS009_1-D1,0.6167,0.7012,0.324,0.7444,0.3271,0.6558,0.325,0.6614,0.3286
T1043TS009_1-D1,0.5556,0.2368,0.2276,0.2545,0.2313,0.2567,0.2374,0.2242,0.2379
T1049TS009_1-D1,0.6646,0.7957,0.2653,0.8129,0.2804,0.8228,0.2736,0.8257,0.2767
T1090TS009_1-D1,0.6675,0.8275,0.2654,0.8559,0.2802,0.8796,0.2321,0.8841,0.2377
T1031TS129_1-D1,0.6634,0.7552,0.3845,0.7766,0.3741,0.7605,0.3682,0.7285,0.3682
T1037TS129_1D1,0.6463,0.778,0.2405,0.7689,0.2427,0.7767,0.2403,0.7757,0.238
T1040TS129_1-D1,0.6422,0.7307,0.4108,0.6757,0.4507,0.7017,0.3982,0.7145,0.4038
T1041TS129_1-D1,0.6954,0.8581,0.2463,0.8658,0.2967,0.8683,0.2951,0.8953,0.2923
T1042TS129_1-D1,0.6512,0.697,0.3161,0.7001,0.325,0.6975,0.3253,0.6969,0.3283
T1049TS129_1-D1,0.6138,0.8343,0.2653,0.8615,0.2804,0.8654,0.2736,0.859,0.2767
T1074TS129_1-D1,0.5911,0.8051,0.3776,0.8223,0.3766,0.8225,0.364,0.8174,0.3514
T1090TS129_1-D1,0.6051,0.8229,0.2676,0.8647,0.2297,0.8651,0.2566,0.8581,0.2354
T1096TS129_1,0.7035,0.7968,0.3529,0.8097,0.3547,0.8003,0.3613,0.7953,0.3619
T1027TS403_1-D1,0.3364,0.4786,0.3295,0.5072,0.3656,0.5039,0.3554,0.5049,0.3634
T1031TS403_1-D1,0.6576,0.7619,0.3845,0.7326,0.3741,0.7329,0.3682,0.7147,0.3682
T1033TS403_1-D1,0.7932,0.7556,0.408,0.8249,0.4107,0.8089,0.4059,0.7918,0.4097
T1037TS403_1-D1,0.6834,0.778,0.2559,0.769,0.2435,0.7767,0.2399,0.7757,0.2403
T1039TS403_1-D1,0.6432,0.7979,0.3768,0.8056,0.3785,0.8257,0.3782,0.8273,0.3745
T1041TS403_1-D1,0.7209,0.8581,0.2463,0.8658,0.2968,0.8683,0.2951,0.8954,0.2923
T1042TS403_1-D1,0.6703,0.697,0.324,0.7482,0.3271,0.7242,0.325,0.7244,0.3286
T1043TS403_1-D1,0.6923,0.2368,0.2278,0.2546,0.2312,0.2558,0.2374,0.2369,0.2379
T1049TS403_1-D1,0.6639,0.784,0.2653,0.8343,0.2804,0.8318,0.2736,0.8298,0.2767
T1090TS403_1-D1,0.6569,0.8793,0.2654,0.8957,0.2802,0.8965,0.2317,0.8927,0.238
T1096TS403_1,0.681,0.7968,0.3558,0.8097,0.358,0.8004,0.3623,0.7954,0.3367
T1031TS473_1-D1,0.6865,0.7078,0.3845,0.7018,0.3741,0.6908,0.3682,0.6641,0.3682
T1033TS473_1-D1,0.762,0.7556,0.408,0.8249,0.4107,0.8089,0.4059,0.7918,0.4097
T1037TS473_1-D1,0.6505,0.778,0.2559,0.769,0.2435,0.7767,0.2399,0.7759,0.2403
T1039TS473_1-D1,0.715,0.7593,0.3768,0.7668,0.3785,0.7575,0.3782,0.7573,0.3745
T1041TS473_1-D1,0.6473,0.8581,0.2463,0.8658,0.2967,0.8683,0.295,0.8954,0.2923
T1042TS473_1-D1,0.7059,0.697,0.324,0.7482,0.3271,0.7242,0.325,0.7244,0.3286
T1043TS473_1-D1,0.6207,0.2367,0.2276,0.2553,0.2312,0.2557,0.2374,0.2306,0.2384
T1049TS473_1-D1,0.6995,0.7765,0.2653,0.8231,0.2804,0.8304,0.2737,0.8258,0.2767
T1074TS473_1-D1,0.5582,0.5937,0.3776,0.6585,0.3766,0.6555,0.3659,0.6528,0.365
T1090TS473_1-D1,0.7056,0.8793,0.2654,0.7167,0.2802,0.719,0.2326,0.7157,0.2377
T1031TS480_1-D1,0.7011,0.7455,0.3845,0.7455,0.3741,0.7419,0.3682,0.717,0.3682
T1037TS480_1-D1,0.6061,0.7729,0.2559,0.7831,0.2435,0.7798,0.2399,0.7728,0.2403
T1041TS480_1-D1,0.6366,0.7893,0.2463,0.8658,0.2967,0.773,0.2951,0.7569,0.2923
T1042TS480_1-D1,0.6561,0.7012,0.324,0.7444,0.3271,0.7374,0.325,0.7322,0.3287
T1049TS480_1-D1,0.6822,0.8174,0.2652,0.8178,0.2804,0.8122,0.2736,0.8096,0.2767
T1074TS480_1-D1,0.4841,0.5175,0.3776,0.5947,0.3765,0.5504,0.364,0.8679,0.3729
T1090TS480_1-D1,0.6501,0.8086,0.2654,0.8892,0.2802,0.8965,0.2322,0.8927,0.2377
T1096TS480_1,0.7554,0.7968,0.356,0.8097,0.358,0.8003,0.3623,0.7953,0.3378
