Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1029TS009_1-D1,46.16,0.4608,93.8,,0.4737,,47.9,,0.437,,94.2,,0.4728,,51.8,,0.4253,,94.1,,0.4724,,54,,0.4308,,93.7,,0.4714,,61.1,,0.4444,,009
T1031TS009_1-D1,51.28,0.5380,77.4,,0.6777,,56.9,,0.3107,,77.3,,0.6536,,58.5,,0.312,,77.7,,0.6698,,58.3,,0.3111,,78.2,,0.6681,,60.3,,0.3103,,009
T1033TS009_1-D1,59.96,0.6558,73.9,,0.7711,,51.4,,0.3562,,72.8,,0.7526,,52.7,,0.3611,,72.1,,0.682,,55,,0.3639,,71.4,,0.7349,,59.9,,0.3663,,009
T1037TS009_1-D1,55.07,0.7938,77.7,,0.7162,,29.3,,0.2094,,76.9,,0.7089,,29.2,,0.2196,,77.5,,0.7144,,29,,0.2222,,77.4,,0.7153,,28.7,,0.2242,,009
T1041TS009_1-D1,53.55,0.7261,75.3,,0.7937,,32.3,,0.2576,,76,,0.7287,,34.2,,0.2236,,76.4,,0.7312,,44.4,,0.2285,,76.9,,0.7384,,55.2,,0.2249,,009
T1042TS009_1-D1,53.82,0.6053,62.8,,0.6243,,34,,0.286,,70.7,,0.5901,,32,,0.2908,,71.4,,0.6899,,32.3,,0.2943,,72.6,,0.6823,,32.1,,0.2958,,009
T1043TS009_1-D1,48.49,0.5467,32.7,,0.2043,,36.7,,0.2364,,33.2,,0.2027,,36,,0.2535,,32.8,,0.2358,,39.7,,0.2588,,35.3,,0.2765,,45.4,,0.2599,,009
T1049TS009_1-D1,58.15,0.7323,87.4,,0.8393,,31.2,,0.2544,,86.8,,0.8524,,30.4,,0.2613,,86.3,,0.8513,,30.3,,0.2461,,85.5,,0.8518,,29.5,,0.2444,,009
T1090TS009_1-D1,57.35,0.7568,87.8,,0.8178,,32.9,,0.2322,,89.4,,0.8359,,36.6,,0.2443,,90.2,,0.8223,,35.9,,0.2491,,90.5,,0.8398,,37.7,,0.2528,,009
T1031TS129_1-D1,58.28,0.7100,79,,0.6919,,56.9,,0.3107,,79.1,,0.7103,,58.5,,0.312,,77.4,,0.6556,,58.3,,0.3111,,77.7,,0.6369,,60.3,,0.3103,,129
T1037TS129_1D1,56.72,0.8090,78.4,,0.6953,,29.3,,0.2109,,79.1,,0.7187,,29.4,,0.2211,,79.6,,0.7161,,29.2,,0.222,,79.4,,0.7161,,28.9,,0.2341,,129
T1040TS129_1-D1,55.22,0.5051,57.2,,0.6528,,40.4,,0.379,,58.6,,0.5711,,41.9,,0.3868,,61.2,,0.7036,,43.7,,0.3917,,66.4,,0.6493,,45.4,,0.3916,,129
T1041TS129_1-D1,60.16,0.7672,77.1,,0.8142,,32.3,,0.2576,,78.2,,0.7753,,34.2,,0.2236,,77.2,,0.7747,,44.4,,0.2285,,77.2,,0.774,,55.2,,0.225,,129
T1042TS129_1-D1,56.17,0.7266,64.5,,0.6525,,31.4,,0.2753,,71.1,,0.626,,32,,0.2777,,72.7,,0.6664,,32.9,,0.2889,,72.7,,0.6664,,35.1,,0.2858,,129
T1049TS129_1-D1,55.21,0.6744,87.4,,0.8393,,31.2,,0.2544,,86.8,,0.8524,,30.4,,0.2613,,86.3,,0.8513,,30.3,,0.2461,,85.5,,0.8518,,29.5,,0.2444,,129
T1074TS129_1-D1,49.54,0.5912,68.3,,0.8103,,35,,0.3594,,68.5,,0.8137,,36.7,,0.3795,,67.7,,0.8149,,39.6,,0.3962,,67.2,,0.8163,,42.3,,0.384,,129
T1090TS129_1-D1,51.62,0.6727,87.8,,0.8178,,32.1,,0.2395,,89.4,,0.8359,,37.2,,0.2366,,89.9,,0.8351,,35.8,,0.2488,,90,,0.7986,,42.4,,0.2491,,129
T1096TS129_1,61.31,0.5387,76.7,,0.7176,,30.1,,0.2996,,75.8,,0.7242,,32.6,,0.3155,,76,,0.7241,,33.2,,0.3154,,74.3,,0.7258,,35.2,,0.3164,,129
T1027TS403_1-D1,53.27,0.5499,67.2,,0.4285,,35.7,,0.3897,,69.3,,0.441,,53.5,,0.3689,,68.5,,0.4333,,56.5,,0.4423,,68.7,,0.4339,,56.7,,0.4424,,403
T1031TS403_1-D1,58.05,0.6284,77.4,,0.6777,,56.9,,0.3107,,80.5,,0.6909,,58.5,,0.312,,79.4,,0.7445,,58.3,,0.3111,,80.2,,0.7341,,60.3,,0.3103,,403
T1033TS403_1-D1,69.01,0.6955,73.9,,0.7711,,51.4,,0.3562,,73.9,,0.7713,,52.7,,0.3611,,74.1,,0.7649,,55,,0.3639,,73.8,,0.7563,,59.9,,0.3663,,403
T1037TS403_1-D1,61.10,0.8384,79.8,,0.7128,,29.3,,0.2094,,79.1,,0.7187,,29.2,,0.2196,,79.6,,0.7161,,29,,0.2222,,79.4,,0.7161,,28.7,,0.2242,,403
T1039TS403_1-D1,54.38,0.7181,84.7,,0.7041,,44.3,,0.3417,,85.5,,0.6968,,46.6,,0.3597,,85.2,,0.6984,,45.5,,0.3419,,85.2,,0.6987,,45.1,,0.3476,,403
T1041TS403_1-D1,62.17,0.7787,79.1,,0.673,,32.3,,0.2576,,78.9,,0.6796,,34.2,,0.2236,,79.8,,0.669,,44.4,,0.2285,,78.8,,0.6817,,55.2,,0.2249,,403
T1042TS403_1-D1,59.15,0.7533,64.5,,0.6525,,34,,0.286,,75.4,,0.6809,,32,,0.2909,,73.9,,0.6849,,32.3,,0.2943,,75.3,,0.676,,32.1,,0.2957,,403
T1043TS403_1-D1,59.79,0.7211,32.7,,0.2043,,36.7,,0.2364,,33.2,,0.2026,,36,,0.2535,,32.8,,0.2359,,39.7,,0.2588,,34.6,,0.2686,,45.4,,0.2599,,403
