Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore
T1027TS427_1-D1,43.35,0.4853,66.9,0.628,0.4244,0.4811,30.5,0.19,0.2892,0.3354,69.3,0.675,0.441,0.4849,33.5,0.22,0.3232,0.3835,67.9,0.667,0.4611,0.4817,32.2,0.209,0.3085,0.366,67.9,0.67,0.451,0.4815,32.4,0.209,0.3146,0.3586
T1029TS427_1-D1,47.32,0.4688,93.8,0.886,0.4737,0.4698,43.5,0.37,0.3521,0.3826,94.2,0.888,0.4728,0.4681,46.4,0.399,0.3647,0.4007,94.1,0.888,0.4724,0.4678,47.4,0.411,0.3587,0.4153,93.7,0.884,0.4714,0.4675,46.9,0.409,0.351,0.3878
T1031TS427_1-D1,71.42,0.8546,77.4,0.606,0.6777,0.8086,46.8,0.297,0.3411,0.3431,77.3,0.597,0.6536,0.7801,48.2,0.319,0.3151,0.2311,77.4,0.593,0.6556,0.7697,53,0.344,0.3105,0.2148,77.7,0.593,0.6369,0.7598,54.1,0.351,0.3088,0.2135
T1033TS427_1-D1,81.84,0.8888,61.9,0.492,0.6826,0.7215,48.6,0.268,0.3613,0.3257,72.8,0.616,0.7526,0.8497,50.4,0.294,0.3648,0.2501,71.2,0.564,0.7375,0.8411,50.5,0.301,0.3584,0.2521,70.3,0.537,0.7209,0.828,50.3,0.315,0.3612,0.2565
T1037TS427_1-D1,79.01,0.9585,77.7,0.8,0.7162,0.8562,28.8,0.175,0.2094,0.1997,76.9,0.795,0.7089,0.8485,27.4,0.157,0.2112,0.1779,77.5,0.796,0.7144,0.859,27.1,0.153,0.2089,0.1847,77.4,0.797,0.7153,0.8546,26.9,0.151,0.2074,0.1767
T1039TS427_1-D1,71.71,0.8612,84.7,0.83,0.7041,0.8593,39.5,0.238,0.3258,0.2787,85.5,0.835,0.6968,0.8472,38.4,0.234,0.3235,0.2767,85.2,0.829,0.6984,0.8476,37.9,0.234,0.3243,0.2695,85.2,0.828,0.6987,0.8472,37.2,0.231,0.3208,0.2683
T1040TS427_1-D1,74.08,0.7836,53.3,0.304,0.6454,0.5756,37.7,0.236,0.3581,0.2672,56.7,0.37,0.6623,0.6248,40.7,0.23,0.3842,0.2929,61.2,0.404,0.7036,0.6471,40.4,0.24,0.3388,0.2879,66.4,0.487,0.6493,0.5851,40.4,0.237,0.3444,0.2818
T1041TS427_1-D1,82.82,0.9528,74,0.78,0.7965,0.9134,29.9,0.195,0.2058,0.1781,73.1,0.763,0.8033,0.9149,31.4,0.188,0.2551,0.2389,75.2,0.784,0.8039,0.9141,31.7,0.191,0.2543,0.2304,74.7,0.763,0.8312,0.9316,31.6,0.186,0.2532,0.2267
T1042TS427_1-D1,83.15,0.9364,57.1,0.495,0.6474,0.5894,30.8,0.224,0.2771,0.2672,71,0.648,0.6897,0.6878,30.9,0.165,0.2791,0.2128,72.7,0.638,0.6664,0.697,30.4,0.16,0.2796,0.2139,72.7,0.635,0.6664,0.7155,29.9,0.159,0.2813,0.2138
T1043TS427_1-D1,75.05,0.8788,31.1,0.211,0.2037,0.2132,29.8,0.24,0.2029,0.1837,29.3,0.177,0.2182,0.2672,31.5,0.255,0.206,0.1895,28.7,0.174,0.2209,0.2541,32.9,0.256,0.2109,0.188,30,0.187,0.2051,0.2067,34.2,0.257,0.2123,0.1859
T1047s1TS427_1-D1,75.18,0.5589,75.1,0.596,0.7412,0.5537,27.1,0.169,0.307,0.1395,75.9,0.603,0.7396,0.5515,28.7,0.17,0.3094,0.1443,76.2,0.605,0.7354,0.5463,29.3,0.166,0.3044,0.1415,76.6,0.609,0.7376,0.5514,29,0.161,0.302,0.1398
T1047s2TS427_1,77.57,0.7731,81.1,0.628,0.7836,0.8673,27.2,0.161,0.2641,0.1946,82.4,0.633,0.7831,0.8605,27.6,0.163,0.2874,0.1879,83,0.642,0.7825,0.8424,27.8,0.165,0.29,0.1635,82.9,0.642,0.7824,0.8241,27.4,0.16,0.2954,0.1841
T1055TS427_1-D1,73.65,0.8978,78.4,0.755,0.745,0.9055,29,0.162,0.2266,0.224,79,0.753,0.7441,0.907,30.7,0.191,0.2667,0.2277,78.5,0.754,0.7429,0.9067,30.5,0.214,0.2636,0.2482,76.5,0.738,0.7443,0.9068,29.9,0.211,0.2612,0.2149
T1058TS427_1,82.62,0.9561,91.7,0.872,0.8131,0.9524,27.8,0.183,0.193,0.1772,91.8,0.874,0.814,0.951,30.9,0.193,0.2219,0.1939,91.7,0.871,0.814,0.9504,34.8,0.214,0.2268,0.1941,91.9,0.874,0.8139,0.9504,39.9,0.218,0.244,0.1915
T1064TS427_1-D1,74.67,0.8117,30.5,0.177,0.2749,0.2849,30.9,0.204,0.2594,0.2509,29.4,0.155,0.2707,0.2756,34.2,0.248,0.269,0.2135,37.1,0.262,0.2486,0.2392,34.7,0.257,0.2535,0.2463,46,0.358,0.3043,0.2934,33.6,0.234,0.2525,0.2219
T1074TS427_1-D1,83.62,0.9160,68.3,0.621,0.8102,0.8964,31.4,0.183,0.3501,0.3704,68.5,0.619,0.8137,0.8967,31.4,0.241,0.3693,0.3633,67.7,0.612,0.8149,0.9004,31.4,0.248,0.3561,0.3514,67.2,0.611,0.8163,0.9015,30.8,0.246,0.3658,0.3469
T1090TS427_1-D1,82.77,0.9148,87.8,0.853,0.8178,0.9268,27.4,0.195,0.2292,0.2082,89.4,0.86,0.8359,0.9346,28.1,0.21,0.1955,0.1872,89.9,0.863,0.8351,0.9332,28.3,0.21,0.2224,0.2078,90,0.864,0.8334,0.9289,28.1,0.171,0.2052,0.1974
T1093TS427_1,74.99,0.9356,84.1,0.645,0.7276,0.8372,27.6,0.17,0.2499,0.1616,85.3,0.629,0.7371,0.822,26.8,0.163,0.2532,0.1669,86,0.603,0.7425,0.7216,26.8,0.161,0.2546,0.1675,86,0.598,0.7423,0.6796,26.6,0.16,0.2548,0.1696
T1094TS427_1,75.42,0.9101,83.1,0.83,0.7466,0.9227,25.3,0.157,0.2017,0.1734,82,0.803,0.7465,0.9104,25.8,0.168,0.2124,0.1566,81.6,0.798,0.7474,0.9048,26.4,0.162,0.2265,0.1705,82.9,0.809,0.7461,0.8952,26.4,0.168,0.2161,0.1612
T1096TS427_1,72.69,0.5585,67,0.524,0.7139,0.5441,28.9,0.18,0.3058,0.204,66.8,0.526,0.7218,0.538,28.8,0.187,0.306,0.1826,65.3,0.52,0.7161,0.5361,65.3,0.52,0.7161,0.5361,61.9,0.493,0.7115,0.5349,29.3,0.182,0.3121,0.1833
